시간,규모,진앙(km),위도,경도,위치
1994-02-02 14:12,2, ,35.9,128.3,경북 성주군 남동쪽 2km 지역
1994-02-12 11:58,3.5, ,36.4,127.3,대전 유성구 북서쪽 7km 지역
1994-02-24 6:40,2.2, ,37.4,129.4,강원 삼척시 동남동쪽 21km 해역
1994-02-26 4:52,2.5, ,35.6,127.9,경남 거창군 남쪽 9km 지역
1994-03-03 19:39,2.7, ,34.4,127.9,전남 여수시 남남동쪽 43km 해역
1994-03-04 0:33,2.7, ,35.9,129.6,경북 포항시 남구 동남동쪽 24km 해역
1994-03-25 6:03,2.3, ,36.3,128.2,경북 상주시 남남동쪽 13km 지역
1994-04-12 16:04,3.1, ,38.5,125.5,북한 황해남도 안악 남남동쪽 1km 지역
1994-04-22 2:05,4.6, ,34.9,131,경남 울산 남동쪽 175km 해역
1994-04-23 12:41,4.5, ,35.1,131.1,경남 울산 남동쪽 175km 해역
1994-04-23 13:03,4.1, ,35.7,130.9,울산 동구 동쪽 136km 해역
1994-07-26 2:41,4.9, ,34.9,124.1,전남 신안군 흑산면 서북서쪽 128km 해역
1994-08-24 15:18,2.1, ,38.5,127.5,북한 평강 동북동쪽 21km 지역
1994-08-31 0:07,2.8, ,37.4,124.8,인천 백령도 남쪽 62km 해역
1994-09-21 3:35,3.2, ,36.4,128.9,경북 안동시 남동쪽 24km 지역
1994-10-14 21:51,3.5, ,38.8,125.6,북한 황해북도 송림 북북서쪽 8km 지역
1994-11-01 9:11,3.4, ,38.9,125.8,북한 평양 남남동쪽 14km 지역
1994-12-02 0:42,3.6, ,37.9,123.8,인천 백령도 서쪽 77km 해역
1994-12-15 10:41,2.8, ,36.1,125.4,전북 군산시 어청도 서쪽 51km 해역
1994-12-18 3:23,2, ,36.4,128.1,경북 상주시 서쪽 5km 지역
1994-12-25 2:41,2.4, ,35.3,126,전남 영광군 서쪽 47km 해역
1994-12-26 23:09,2.3, ,34.8,128.1,경남 남해군 동남동쪽 19km 해역
1995-01-14 6:43,3, ,37.9,124.5,인천 백령도 서남서쪽 17km 해역
1995-01-21 7:39,3.3, ,34.2,125,전남 신안군 가거도 북서쪽 20km 해역
1995-01-29 17:02,2.4, ,38.9,126,북한 평양 동남동쪽 26km 지역
1995-02-02 15:56,2.5, ,38.9,126,북한 평양 동남동쪽 26km 지역
1995-02-05 12:59,2.6, ,39.6,126,북한 평안남도 개천 남동쪽 14km 지역
1995-03-11 9:30,3, ,38.7,125.6,북한 황해북도 송림 남서쪽 5km 지역
1995-03-20 1:01,2.5, ,35.7,131.1,울산 동구 동쪽 154km 해역
1995-04-28 15:38,2.5, ,34.7,128.9,경남 통영시 매물도 동쪽 30km 해역
1995-04-30 19:40,2.5, ,35.8,128.7,대구 수성구 남동쪽 9km 지역
1995-05-10 8:46,3.4, ,39.3,126,북한 평안남도 평성 동북동쪽 14km 지역
1995-05-17 1:43,2.9, ,37.6,124.3,인천 백령도 남서쪽 51km 해역
1995-06-05 18:21,2.5, ,38.7,126.4,북한 황해북도 신계 북북서쪽 25km 지역
1995-06-19 18:09,3, ,36.4,128.2,경북 상주시 동남동쪽 4km 지역
1995-06-24 19:47,2.6, ,36.8,129.5,경북 울진군 남남동쪽 23km 해역
1995-06-24 21:49,2.2, ,37,129.3,경북 울진군 서쪽 9km 지역
1995-07-24 19:02,4.2, ,38.2,124.4,북한 인천 백령도 북서쪽 37km 해역
1995-08-04 10:15,2.8, ,36.3,123.7,충남 태안군 서격렬비열도 서남서쪽 167km 해역
1995-08-09 15:42,2.9, ,37.9,124.6,인천 백령도 남서쪽 9km 해역
1995-08-12 3:17,3.6, ,38,124.6,인천 백령도 북서쪽 9km 해역
1995-08-24 3:08,2.8, ,36.2,123.7,충남 태안군 서격렬비열도 서남서쪽 170km 해역
1995-09-03 22:38,2.4, ,33.5,126.9,제주 제주시 동쪽 34km 지역
1995-09-17 0:13,2.4, ,36.3,126.8,충남 부여군 서북서쪽 11km 지역
1995-10-03 14:05,2.9, ,36.9,129.2,경북 울진군 서남서쪽 21km 지역
1995-10-06 21:07,3.7, ,37.5,129.8,강원 삼척시 동쪽 56km 해역
1995-10-08 8:33,3.5, ,35.6,129.7,울산 동구 동북동쪽 28km 해역
1995-11-10 14:03,3, ,38.9,125.8,북한 평양 남남동쪽 14km 지역
1995-12-21 8:25,2.6, ,36.6,128.1,경북 상주시 북북서쪽 22km 지역
1995-12-22 5:24,2.5, ,34.6,127.5,전남 고흥군 동쪽 20km 지역
1995-12-24 3:47,3, ,35.3,124.6,전남 신안군 흑산면 북서쪽 107km 해역
1996-01-24 5:09,4.2, ,37.9,129.6,강원 동해시 북동쪽 60km 해역
1996-02-09 8:51,3.1, ,39.2,126.4,북한 평안남도 성천 동남동쪽 17km 지역
1996-02-27 4:39,2.6, ,35.9,129.6,경북 포항시 남구 동남동쪽 24km 해역
1996-03-02 21:42,2.2, ,36.4,127.8,충북 보은군 남남동쪽 11km 지역
1996-03-20 4:54,2.5, ,36.6,128.1,경북 상주시 북북서쪽 22km 지역
1996-04-14 2:20,2.3, ,35.8,127.9,경남 거창군 북쪽 13km 지역
1996-04-14 5:22,3.1, ,35.9,127.9,경북 김천시 남서쪽 32km 지역
1996-04-19 2:39,2.8, ,36.3,127,충남 공주시 남서쪽 19km 지역
1996-05-06 21:02,2.1, ,35.9,127.7,전북 무주군 남남동쪽 12km 지역
1996-05-07 0:13,2.9, ,34.7,127.3,전남 고흥군 북쪽 10km 해역
1996-05-13 0:49,3, ,35.8,130.2,울산 동구 동북동쪽 78km 해역
1996-05-14 13:36,2.1, ,36.5,127.5,충북 청원군 남쪽 15km 지역
1996-05-16 11:05,2.8, ,35.3,129.1,부산 금정구 북쪽 7km 지역
1996-05-21 17:15,3.1, ,38.8,125.6,북한 황해북도 송림 북북서쪽 8km 지역
1996-05-26 8:34,2.5, ,33.5,126,제주 제주시 서쪽 49km 해역
1996-05-26 19:58,3.5, ,36.4,125.5,충남 태안군 서격렬비열도 남쪽 22km 해역
1996-06-04 1:14,2.6, ,39.3,126.3,북한 평안남도 성천 북동쪽 10km 지역
